지점,지점명,일시,월 미세먼지 농도(㎍/㎥)
102,백령도,2008-01,46
102,백령도,2008-02,52
102,백령도,2008-03,58
102,백령도,2008-04,59
102,백령도,2008-05,63
102,백령도,2008-06,32
102,백령도,2008-07,21
102,백령도,2008-08,29
102,백령도,2008-09,41
102,백령도,2008-10,49
102,백령도,2008-11,42
102,백령도,2008-12,53
102,백령도,2009-01,40
102,백령도,2009-02,74
102,백령도,2009-03,73
102,백령도,2009-04,57
102,백령도,2009-05,59
102,백령도,2009-06,38
102,백령도,2009-07,36
102,백령도,2009-08,41
102,백령도,2009-09,55
102,백령도,2009-10,44
102,백령도,2009-11,48
102,백령도,2009-12,54
102,백령도,2010-01,41
102,백령도,2010-02,35
102,백령도,2010-03,57
102,백령도,2010-04,45
102,백령도,2010-05,44
102,백령도,2010-06,29
102,백령도,2010-07,23
102,백령도,2010-08,23
102,백령도,2010-09,26
102,백령도,2010-10,28
102,백령도,2010-11,65
102,백령도,2010-12,58
102,백령도,2011-01,33
102,백령도,2011-02,54
102,백령도,2011-03,62
102,백령도,2011-04,51
102,백령도,2011-05,85
102,백령도,2011-06,25
102,백령도,2011-07,19
102,백령도,2011-08,22
102,백령도,2011-09,33
102,백령도,2011-10,46
102,백령도,2011-11,48
102,백령도,2011-12,36
102,백령도,2012-01,53
102,백령도,2012-02,45
102,백령도,2012-03,50
102,백령도,2012-04,45
102,백령도,2012-05,51
102,백령도,2012-06,25
102,백령도,2012-07,24
102,백령도,2012-08,27
102,백령도,2012-09,35
102,백령도,2012-10,30
102,백령도,2012-11,36
102,백령도,2012-12,32
102,백령도,2013-01,56
102,백령도,2013-02,41
102,백령도,2013-03,47
102,백령도,2013-04,47
102,백령도,2013-05,50
102,백령도,2013-06,32
102,백령도,2013-07,34
102,백령도,2013-09,26
102,백령도,2013-11,34
102,백령도,2013-12,38
102,백령도,2014-01,42
102,백령도,2014-02,47
102,백령도,2014-03,40
102,백령도,2014-04,44
102,백령도,2014-05,43
102,백령도,2014-06,31
102,백령도,2014-07,40
102,백령도,2014-08,35
102,백령도,2014-09,30
102,백령도,2014-10,34
102,백령도,2014-11,42
102,백령도,2014-12,41
102,백령도,2015-01,40
102,백령도,2015-02,65
102,백령도,2015-03,62
102,백령도,2015-04,45
102,백령도,2015-05,34
102,백령도,2015-06,28
102,백령도,2015-07,23
102,백령도,2015-08,29
102,백령도,2015-09,24
102,백령도,2015-10,31
102,백령도,2015-11,38
102,백령도,2015-12,37
102,백령도,2016-01,35
102,백령도,2016-02,34
102,백령도,2016-03,57
102,백령도,2016-04,67
102,백령도,2016-05,41
102,백령도,2016-06,29
102,백령도,2016-07,19
102,백령도,2016-08,20
102,백령도,2016-09,28
102,백령도,2016-10,25
102,백령도,2016-11,37
102,백령도,2016-12,28
102,백령도,2017-01,36
102,백령도,2017-02,31
102,백령도,2017-03,42
102,백령도,2017-04,48
102,백령도,2017-05,52
102,백령도,2017-06,27
102,백령도,2017-07,22
102,백령도,2017-08,18
102,백령도,2017-09,27
102,백령도,2017-10,29
102,백령도,2018-01,40
102,백령도,2018-02,41
102,백령도,2018-03,32
102,백령도,2018-04,37
102,백령도,2018-05,33
102,백령도,2018-06,23
102,백령도,2018-07,18
102,백령도,2018-08,22
102,백령도,2018-09,22
102,백령도,2018-10,21
102,백령도,2018-11,34
102,백령도,2018-12,34
102,백령도,2019-01,47
102,백령도,2019-02,44
102,백령도,2019-03,49
102,백령도,2019-04,36
102,백령도,2019-05,40
102,백령도,2019-06,20
102,백령도,2019-07,22
102,백령도,2019-08,23
102,백령도,2019-09,25
102,백령도,2019-10,40
102,백령도,2019-11,31
102,백령도,2019-12,32
102,백령도,2020-01,33
102,백령도,2020-02,36
102,백령도,2020-03,36
102,백령도,2020-04,40
102,백령도,2020-05,25
102,백령도,2020-06,24
102,백령도,2020-07,21
102,백령도,2020-08,20
102,백령도,2020-09,23
102,백령도,2020-10,30
102,백령도,2020-11,28
102,백령도,2020-12,32
