YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1905,1.55,-2.45,4.65,9.25,14.45,20.05,24.05,23.65,20.15,14.75,6.45,1.75,0.15,9.45,22.58,13.78,11.49
1906,-3.75,-3.15,2.75,9.85,15.25,20.95,24.55,24.75,20.35,14.85,4.35,-0.45,-1.72,9.28,23.42,13.18,11.04
1907,0.15,-2.85,3.55,10.55,14.75,19.65,23.85,25.85,21.55,16.05,6.65,-2.25,-1.05,9.62,23.12,14.75,11.61
1908,-2.65,-3.05,2.95,10.05,14.65,19.75,23.05,24.55,20.75,15.65,5.45,1.05,-2.65,9.22,22.45,13.95,10.74
1909,-1.55,-2.15,2.15,10.15,14.65,19.45,23.95,25.45,21.25,14.15,7.05,-1.95,-0.88,8.98,22.95,14.15,11.30
1910,-1.75,-2.35,2.85,9.85,15.15,18.85,23.05,24.65,20.05,15.75,7.45,-2.85,-2.02,9.28,22.18,14.42,10.97
1911,-3.65,-0.25,4.15,9.55,15.85,19.65,23.25,25.55,21.75,13.65,7.55,-1.65,-2.25,9.85,22.82,14.32,11.18
1912,-3.15,1.95,4.75,10.05,14.95,20.65,23.55,24.95,19.35,12.95,3.15,-1.55,-0.95,9.92,23.05,11.82,10.96
1913,-4.04,-3.05,2.05,10.75,14.05,19.15,21.75,24.05,20.65,14.65,6.85,-0.45,-2.88,8.95,21.65,14.05,10.44
1914,-1.05,1.15,5.35,10.15,16.95,20.75,25.55,25.65,21.45,15.35,7.55,0.25,-0.12,10.82,23.98,14.78,12.37
1915,-3.15,-2.35,1.15,9.25,15.15,19.95,24.55,24.75,20.25,16.15,7.85,2.45,-1.75,8.52,23.08,14.75,11.15
1916,0.85,-0.15,0.85,10.45,14.15,19.25,23.15,25.55,20.05,14.35,7.65,0.05,1.05,8.48,22.65,14.02,11.55
1917,-7.45,-2.85,3.25,9.95,13.55,20.45,25.25,25.25,21.05,15.35,4.95,-4.35,-3.42,8.92,23.65,13.78,10.73
1918,-5.35,0.95,4.75,10.85,14.35,18.95,22.95,25.05,20.65,14.85,6.05,-0.25,-2.92,9.98,22.32,13.85,10.81
